game_id,transcript,result,player_one,player_two,player_one_time,player_two_time,player_one_score,player_two_score,player_one_illegal_moves,player_two_illegal_moves,player_one_legal_moves,player_two_legal_moves,player_one_resignation,player_two_resignation,player_one_failed_to_find_legal_move,player_two_failed_to_find_legal_move,game_title,number_of_moves,time_taken,total_moves,illegal_moves,player_one_illegal_moves_details,player_two_illegal_moves_details
1749361828-6855,;1. e4 d5 2. exd5 Nf6 3. Nc3 Nxd5 4. Nxd5 Qxd5 5. Nf3 e5 6. d3 Bg4 7. Be2 Be7 8. O-O O-O 9. h3 Bc8 10. c4 Qa5 11. Bd2 Bb4 12. Bxb4 Qxb4 13. b3 Re8 14. Qd2 Qxd2 15. Nxd2 Nc6 16. Ne4 Nb4 17. a3 Nc6 18. b4 Nd4 19. Bd1 Kf8 20. Nc5 Rd8 21. Re1 b6 22. Ne4 g6 23. Nf6 a5 24. Nxh7+ Kg8 25. Nf6+ Kg7 26. Nd5 axb4 27. Nxb4 Re8 28. Nd5 Ra5 29. Nxc7 Rh8 30. Nd5 Bf5 31. Nxb6 Rb8 32. Nd5 Bxd3 33. Nb4 Rxb4 34. axb4 Rxa1 35. Bf3 Rxe1+ 36. Kh2 e4 37. Bg4 Rf1 38. Kg3 Kf8 39. c5 g5 40. c6 Nxc6 41. b5 Nb8 42. b6 Kg7 43. b7 Rb1 44. Bc8 Rb4 45. Kg4 Rb6 46. Kxg5 Bc2 47. Kf4 Rb5 48. Ke3 Rb3+ 49. Kd2 Bb1 50. Kc1 Kh6 51. Kd2 f6 52. Ke2 Ba2 53. Kd2 Kg6 54. Ke2 e3 55. fxe3 Rb4 56. Kf3 Bg8 57. e4 Rb3+ 58. Kf4 Rb5 59. g4 Bh7 60. h4 Rb4 61. h5+ Kg7 62. g5 fxg5+ 63. Kxg5 Bxe4 64. h6+ Kh8 65. Kf6 Bh7 66. Ke7 Be4 67. Kd8 Rc4 68. Ke7 Bxb7 69. Bxb7 Rc7+ 70. Kd8 Rxb7 71. Kc8 Rb5 72. Kc7 Kh7 73. Kc8 Kh8 74. Kc7 Kh7 75. Kc8 Rb6 76. Kc7 Rg6 77. Kc8 Rg8+ 78. Kc7 Kxh6 79. Kd6 Rc8 80. Kd5 Re8 81. Kd6 Rc8 82.,0-1,adam_lichess_8layers.pt,Stockfish 0,,600000 nodes,0,1,10,0,79,82,False,False,True,False,adam_lichess_8layers.pt vs. Stockfish 0,82,37.60599946975708,82,0,"[{'move_number': 62, 'attempted_move': 'Kf5', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Kf5' in 1nB5/1P4kb/5p2/7P/1r2PKP1/8/8/8 w - - 1 62"", 'attempt': 1}, {'move_number': 80, 'attempted_move': 'Kd7', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Kd7' in 1nr5/8/3K3k/8/8/8/8/8 w - - 2 80"", 'attempt': 1}, {'move_number': 80, 'attempted_move': 'Kd7', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Kd7' in 1nr5/8/3K3k/8/8/8/8/8 w - - 2 80"", 'attempt': 2}, {'move_number': 80, 'attempted_move': 'Kd7', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Kd7' in 1nr5/8/3K3k/8/8/8/8/8 w - - 2 80"", 'attempt': 3}, {'move_number': 80, 'attempted_move': 'Kd7', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Kd7' in 1nr5/8/3K3k/8/8/8/8/8 w - - 2 80"", 'attempt': 4}, {'move_number': 82, 'attempted_move': 'Kd7', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Kd7' in 1nr5/8/3K3k/8/8/8/8/8 w - - 6 82"", 'attempt': 1}, {'move_number': 82, 'attempted_move': 'Kd7', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Kd7' in 1nr5/8/3K3k/8/8/8/8/8 w - - 6 82"", 'attempt': 2}, {'move_number': 82, 'attempted_move': 'Kd7', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Kd7' in 1nr5/8/3K3k/8/8/8/8/8 w - - 6 82"", 'attempt': 3}, {'move_number': 82, 'attempted_move': 'Kd7', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Kd7' in 1nr5/8/3K3k/8/8/8/8/8 w - - 6 82"", 'attempt': 4}, {'move_number': 82, 'attempted_move': 'Kd7', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Kd7' in 1nr5/8/3K3k/8/8/8/8/8 w - - 6 82"", 'attempt': 5}]",[]
1749361851-8966,;1. e4 e5 2. Nf3 d5 3. exd5 e4 4. Nd4 Nf6 5. Nc3 c6 6. dxc6 Qxd4 7. cxb7 Bxb7 8. Bb5+ Nbd7 9. O-O a6 10. Ba4 Bd6 11. Re1 Bc5 12. Qe2 Kf8 13. d3 Nb6 14. Bb3 Re8 15. Be3 Qb4 16. a3 Qa5 17. d4 Bd6 18. Bd2 Re7 19. Nxe4 Bxh2+ 20. Kxh2 Qb5 21. Qxb5 axb5 22. Nxf6 gxf6 23. Rxe7 Kxe7 24. Re1+ Kd7 25. Bxf7 Bxg2 26. Kxg2 Rf8 27. Be6+ Kc6 28. Bb4 Rb8 29. Bf5 Nd5 30. Be4 Rg8+ 31. Kf1 Rg4 32. Bxd5+ Kxd5 33. Rd1 Rh4 34. Ke2 Rf4 35. Ke3 Re4+ 36. Kf3 h6 37. Re1 Rxe1 38. Bxe1 f5 39. Kf4 Kxd4 40. Kxf5 Kc4 41. Kg6 Kd5 42. Kxh6 Ke4 43. Kg5 b4 44. axb4 Kf3 45. b5 Ke2 46. Bc3 Kf3 47. b6 Kxf2 48. b7 Kf1 49. b8=Q Kg1 50. Qf4 Kg2 51. Kg4 Kh1 52. Qf3+ Kg1 53. Qe2 Kh1 54. Kg3 Kg1 55. Qg2#,1-0,adam_lichess_8layers.pt,Stockfish 0,,600000 nodes,1,0,0,0,55,55,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,55,22.829432487487793,55,0,[],[]
1749361875-9092,;1. e4 d5 2. exd5 Nf6 3. Nc3 a6 4. Bc4 b5 5. Bb3 Bb7 6. Nf3 c5 7. dxc6 Nxc6 8. O-O e6 9. d3 Be7 10. Bg5 h6 11. Bh4 g5 12. Bg3 Nh5 13. Ne5 Nxg3 14. Nxc6 Qd6 15. Nxe7 Bxg2 16. Kxg2 Nxf1 17. Qxf1 Qd4 18. Nc6 Qg4+ 19. Kh1 Qf4 20. Qg2 Kd7 21. Ne5+ Qxe5 22. Qb7+ Qc7 23. Qxc7+ Kxc7 24. Ne4 Kd7 25. Nf6+ Kc7 26. Ne4 f5 27. Nc5 Kb6 28. Nxe6 Ra7 29. Nd4 a5 30. Nxf5 a4 31. Bd5 Rf8 32. Nd4 Rxf2 33. Be4 b4 34. Kg1 Rf8 35. Rf1 Rff7 36. Rxf7 b3 37. Rxa7 Kxa7 38. axb3 axb3 39. Nxb3 Kb6 40. Nd4 Kc5 41. Nf5 g4 42. Nxh6 Kb4 43. Nxg4 Ka4 44. h4 Kb4 45. h5 Ka4 46. h6 Kb4 47. h7 Ka4 48. h8=Q Kb4 49. Qc3+ Kb5 50. Qc4+ Ka5 51. Qb3 Ka6 52. Qb4 Ka7 53. Qb7#,1-0,adam_lichess_8layers.pt,Stockfish 0,,600000 nodes,1,0,0,0,53,53,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,53,23.308937549591064,53,0,[],[]
1749361910-2042,;1. e4 d5 2. exd5 e6 3. dxe6 f6 4. Nf3 Bxe6 5. Be2 Nc6 6. O-O Nge7 7. d4 Qd7 8. c4 Bf5 9. d5 Nb4 10. Na3 c6 11. dxc6 bxc6 12. Qxd7+ Kxd7 13. Bd2 Rb8 14. Bxb4 Rxb4 15. b3 Kc7 16. Nd4 Bc8 17. Nac2 Rb6 18. c5 Rb8 19. b4 g6 20. a4 g5 21. b5 h5 22. bxc6 Nxc6 23. Nxc6 Rb2 24. N2d4 Bd7 25. Bb5 Bxc6 26. Nxc6 h4 27. Nxa7 Kb8 28. Nc6+ Kc8 29. Rfd1 Bxc5 30. Rd8+ Rxd8 31. Nxd8 Kxd8 32. Rd1+ Kc7 33. Rd7+ Kb6 34. Rf7 Bxf2+ 35. Kf1 Bc5 36. Rxf6+ Ka7 37. Rf7+ Kb8 38. Rf5 Be3 39. Rf8+ Kc7 40. Rf7+ Kb8 41. Rf8+ Ka7 42. Rf7+ Ka8 43. Rf8+ Ka7 44. Rf7+ Ka8 45. Rf8+ Ka7 46. Rf7+ Kb8 47. Rf8+ Ka7 48. Rf7+ Ka8 49. Rf8+ Kb7 50. Rf7+ Kb6 51. Rf6+ Kc7 52. Rf7+ Kb6 53. Rf6+ Kc7 54. Rf7+ Kd6 55. Rf6+ Ke5 56. Rf3 Ba7 57. Re3+ Bxe3 58. Ke1 Ba7 59. Kd1 Rxg2 60. Kc1 Bd4 61. Kb1 Rxh2 62. Kc1 Ba7 63. Kd1 Bd4 64. Ke1 Be3 65. Kf1 h3 66. Ke1 Rd2 67. Kf1 Rf2+ 68. Ke1 h2 69. Kd1 Rd2+ 70. Ke1 h1=Q+ 71. Bf1 Kd5 72. a5 Qh4#,0-1,adam_lichess_8layers.pt,Stockfish 0,,600000 nodes,0,1,0,0,72,72,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,73,35.34658217430115,72,0,[],[]
1749361937-6708,;1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 e6 5. Bd2 Bd7 6. Nf3 Bb4 7. a3 Bd6 8. Ne4 Qd5 9. Nxd6+ cxd6 10. Bd3 h6 11. O-O h5 12. c4 Qc6 13. b4 Nf6 14. b5 Qc8 15. Bg5 Kf8 16. Bxf6 gxf6 17. Qd2 Qc7 18. Qf4 f5 19. Ng5 Bc8 20. Rfe1 Qe7 21. d5 Rh6 22. dxe6 Rxe6 23. Nxe6+ fxe6 24. Qh6+ Kg8 25. Qxh5 Nd7 26. Bxf5 Nf6 27. Qg6+ Kh8 28. Bxe6 Bxe6 29. Rxe6 Qxe6 30. Qh6+ Kg8 31. Qg6+ Kf8 32. Qh6+ Kf7 33. Qf4 Re8 34. h3 b6 35. Rd1 Qe5 36. Qf3 Qc5 37. Qb7+ Re7 38. Qf3 Re5 39. Qb7+ Re7 40. Qf3 Re5 41. Qb7+ Ke6 42. Qf3 Rf5 43. Qe2+ Re5 44. Qf3 Re4 45. Qb3 Qxc4 46. Qb1 Re2 47. Qb3 Qxb3 48. Rf1 Qxb5 49. Kh2 Ne4 50. Rg1 Qg5 51. f3 Qe5+ 52. Kh1 Nf2#,0-1,adam_lichess_8layers.pt,Stockfish 0,,600000 nodes,0,1,0,0,52,52,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,53,27.256470441818237,52,0,[],[]
1749361959-7804,;1. e4 e6 2. d4 d5 3. e5 a6 4. Nf3 Bd7 5. Bd3 Bb5 6. O-O h6 7. Bxb5+ c6 8. Bd3 c5 9. c3 Qc7 10. Be3 c4 11. Bc2 Nc6 12. Nbd2 g5 13. h3 Nge7 14. Nh2 O-O-O 15. f4 gxf4 16. Bxf4 Kb8 17. Ndf3 h5 18. Bg5 f6 19. Bxf6 Bh6 20. Bxh8 Nxd4 21. Bf6 Ndc6 22. Nd4 Nxd4 23. cxd4 Rg8 24. Bxe7 Be3+ 25. Kh1 Qxe7 26. Qxh5 Qd8 27. Rf7 Qb6 28. Qh7 Rd8 29. Raf1 Bxd4 30. Rf8 Be3 31. Rxd8+ Qxd8 32. Rf7 Qc8 33. Rc7 Qxc7 34. Qxc7+ Kxc7 35. Ng4 Bd4 36. h4 Bxb2 37. h5 d4 38. h6 d3 39. Bd1 Kc6 40. h7 Kc5 41. h8=Q Kb4 42. Qb8 Kc3 43. Qxb7 Ba1 44. Qxa6 Kb4 45. Qxe6 Bd4 46. Qd6+ Bc5 47. Qb8+ Ka5 48. Qa8+ Kb6 49. Qb8+ Ka6 50. Qc8+ Ka7 51. Qxc5+ Kb8 52. Qxc4 Kb7 53. Qxd3 Kc7 54. Qd6+ Kb7 55. e6 Kc8 56. e7 Kb7 57. e8=Q Ka7 58. Qee7+ Ka8 59. Qdd8#,1-0,adam_lichess_8layers.pt,Stockfish 0,,600000 nodes,1,0,0,0,59,59,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,59,21.76911497116089,59,0,[],[]
1749361980-4078,;1. e4 e6 2. d4 Nf6 3. e5 Ne4 4. Bd3 d5 5. Bxe4 Bb4+ 6. c3 Bf8 7. Bd3 Bd7 8. Nf3 b6 9. O-O h6 10. Be3 g5 11. Nbd2 Qe7 12. Nb3 Bc6 13. Qd2 Bb7 14. Rac1 g4 15. Ne1 Qh4 16. g3 Qh3 17. Ng2 Nc6 18. Nf4 Qxf1+ 19. Rxf1 Be7 20. Nh5 Kd7 21. Nf6+ Kc8 22. Nxg4 a5 23. Nf6 Ra7 24. Bb5 Bxf6 25. exf6 h5 26. Bxc6 Bxc6 27. Bg5 Kb8 28. Bh4 Bb5 29. Re1 Bd7 30. Qf4 Re8 31. Nd2 Rc8 32. Nf3 a4 33. Ne5 a3 34. b3 Rd8 35. Nxf7 Rc8 36. Ne5 Bb5 37. f7 Bd7 38. Nxd7+ Kb7 39. Ne5 Rh8 40. Qf6 Rf8 41. Qxe6 Ka8 42. Qxd5+ Rb7 43. Qd7 Rh8 44. Qc6 Rf8 45. Nd7 Rh8 46. f8=Q+ Rxf8 47. Nxf8 Ka7 48. Re8 Rb8 49. Rxb8 Kxb8 50. Qe8+ Kb7 51. Qxh5 Kb8 52. Qe8+ Kb7 53. Qe4+ Ka7 54. Nd7 b5 55. Qc6 b4 56. Qa4+ Kb7 57. Qxb4+ Ka8 58. Qxa3+ Kb7 59. Qb4+ Ka7 60. Qa5+ Kb7 61. Qb5+ Ka7 62. Qb8+ Ka6 63. Qxc7 Kb5 64. Qc5+ Ka6 65. Qb6#,1-0,adam_lichess_8layers.pt,Stockfish 0,,600000 nodes,1,0,0,0,65,65,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,65,21.08965826034546,65,0,[],[]
1749361996-6756,;1. e4 e6 2. d4 c5 3. d5 a6 4. c4 b5 5. b3 exd5 6. exd5 Qe7+ 7. Be2 d6 8. Nf3 g6 9. O-O Bg7 10. Re1 Bxa1 11. Bg5 Qc7 12. Bd3+ Kd7 13. Qe2 Qa7 14. Qe7+ Nxe7 15. Rxe7+ Kd8 16. Rxa7+ f6 17. Bh6 Rxa7 18. Bg7 Re8 19. Bxf6+ Bxf6 20. Nbd2 Bf5 21. Bxf5 gxf5 22. h3 Kc7 23. g4 fxg4 24. hxg4 Rg8 25. Ne4 Rxg4+ 26. Kf1 Rxe4 27. Nd2 Rf4 28. Ke2 Kb6 29. Ke3 Rh4 30. Nf3 Re7+ 31. Kd3 Rh3 32. Kc2 Rxf3 33. Kd2 Bg5+ 34. Kc2 Rf4 35. Kb2 Rxf2+ 36. Ka3 a5 37. cxb5 Bc1+ 38. Ka4 Rf4+ 39. b4 Rxb4#,0-1,adam_lichess_8layers.pt,Stockfish 0,,600000 nodes,0,1,4,0,38,39,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,40,15.755446910858154,39,0,"[{'move_number': 39, 'attempted_move': 'Ka3', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Ka3' in 1n6/4r2p/1k1p4/pPpP4/K4r2/1P6/P7/2b5 w - - 3 39"", 'attempt': 1}, {'move_number': 39, 'attempted_move': 'Ka3', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Ka3' in 1n6/4r2p/1k1p4/pPpP4/K4r2/1P6/P7/2b5 w - - 3 39"", 'attempt': 2}, {'move_number': 39, 'attempted_move': 'Ka3', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Ka3' in 1n6/4r2p/1k1p4/pPpP4/K4r2/1P6/P7/2b5 w - - 3 39"", 'attempt': 3}, {'move_number': 39, 'attempted_move': 'Ka3', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Ka3' in 1n6/4r2p/1k1p4/pPpP4/K4r2/1P6/P7/2b5 w - - 3 39"", 'attempt': 4}]",[]
1749362013-5470,;1. e4 e6 2. d4 d5 3. e5 h6 4. Nf3 a6 5. Bd3 Nc6 6. O-O Nb4 7. Be2 c5 8. c3 Ne7 9. cxb4 cxd4 10. Nxd4 g5 11. Bh5 Nf5 12. Nxf5 exf5 13. Qd4 Bg7 14. Re1 Be6 15. Nc3 b5 16. a4 Rc8 17. axb5 Rc4 18. Qa7 Rc7 19. Qxa6 Bc8 20. Qa5 d4 21. Nd5 Qxd5 22. Qxc7 O-O 23. Bf3 Qb3 24. Qc5 d3 25. Ra3 Qc2 26. Rc3 g4 27. Rxc2 gxf3 28. gxf3 dxc2 29. Qxc2 Bh8 30. Bxh6 Bg7 31. Bxg7 Be6 32. Bxf8 Kxf8 33. Qc5+ Kg7 34. b6 Bb3 35. b7 Ba2 36. b8=Q Bb3 37. Qbd6 Be6 38. Qcc7 Bb3 39. Qf6+ Kf8 40. Qcd8#,1-0,adam_lichess_8layers.pt,Stockfish 0,,600000 nodes,1,0,0,0,40,40,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,40,16.767366409301758,40,0,[],[]
1749362039-9986,;1. e4 e6 2. d4 a6 3. Nf3 d5 4. e5 b6 5. Bd3 c5 6. c3 Qc7 7. O-O Nc6 8. Be3 c4 9. Bc2 f5 10. exf6 Nxf6 11. Nbd2 Be7 12. Re1 Bd6 13. Nf1 Bd7 14. Bg5 O-O 15. Bxf6 Rxf6 16. Ng3 g6 17. Qd2 Raf8 18. Re2 Bc8 19. Rae1 b5 20. Ng5 Bf4 21. Nxe6 Bxd2 22. Nxc7 Bxe1 23. Rxe1 Rd8 24. Ne8 Rf8 25. Nc7 Rd7 26. Ne6 Re8 27. Nc5 Rxe1+ 28. Nf1 Rd8 29. g3 Ree8 30. Ne3 Nb8 31. Kg2 b4 32. h4 Kh8 33. h5 a5 34. hxg6 Rg8 35. gxh7 Rge8 36. Nf5 Nc6 37. Nh6 Kg7 38. Nf5+ Bxf5 39. Bxf5 Kh8 40. Bg6 Re7 41. Bf5 Ra8 42. Bg6 Rf8 43. Bf5 Rxf5 44. Ne6 bxc3 45. Nf4 cxb2 46. Ng6+ Kxh7 47. Nxe7 Nxe7 48. g4 Rf8 49. f3 c3 50. Kg3 Ng6 51. f4 Rxf4 52. g5 b1=Q 53. Kg2 Qxa2+ 54. Kg3 Qf2+ 55. Kh3 Qf1+ 56. Kg3 Qf2+ 57. Kh3 Rf8 58. Kg4 Qf3#,0-1,adam_lichess_8layers.pt,Stockfish 0,,600000 nodes,0,1,0,0,58,58,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,59,26.418586015701294,58,0,[],[]
